"cod_cidade";"nom_cidade"
409;"ARACAI"
410;"ARACAJU"
411;"ARACARIGUAMA"
412;"ARACAS"
413;"ARACATI"
414;"ARACATU"
416;"ARACI"
417;"ARACITABA"
418;"ARACOIABA"
419;"ARACOIABA"
420;"ARACOIABA DA SERRA"
422;"ARACU"
423;"ARACUAI"
424;"ARAGARCAS"
425;"ARAGOIANIA"
426;"ARAGOMINAS"
427;"ARAGUACEMA"
428;"ARAGUACU"
429;"ARAGUAIANA"
430;"ARAGUAINA"
431;"ARAGUAINHA"
432;"ARAGUANA"
433;"ARAGUANA"
434;"ARAGUAPAZ"
435;"ARAGUARI"
436;"ARAGUATINS"
437;"ARAIOSES"
438;"ARAL MOREIRA"
439;"ARAMARI"
440;"ARAMBARE"
441;"ARAME"
442;"ARAMINA"
443;"ARANDU"
444;"ARANTINA"
445;"ARAPEI"
446;"ARAPIRACA"
447;"ARAPOEMA"
448;"ARAPONGA"
449;"ARAPONGAS"
451;"ARAPOTI"
452;"ARAPUA"
453;"ARAPUA"
454;"ARAPUTANGA"
455;"ARAQUARI"
456;"ARARA"
797;"BONITO"
2.226;"IRATI"
457;"ARARANGUA"
459;"ARARAS"
460;"ARARENDA"
461;"ARARI"
462;"ARARICA"
463;"ARARIPE"
464;"ARARIPINA"
465;"ARARUAMA"
466;"ARARUNA"
467;"ARARUNA"
468;"ARATIBA"
469;"ARAUA"
470;"ARAUCARIA"
471;"ARAUJOS"
472;"ARAXA"
473;"ARCEBURGO"
474;"ARCO-IRIS"
475;"ARCOS"
476;"ARCOVERDE"
477;"AREADO"
478;"AREAL"
479;"AREALVA"
480;"AREIA"
481;"AREIA BRANCA"
482;"AREIA BRANCA"
483;"AREIAL"
484;"AREIAS"
485;"AREIOPOLIS"
486;"ARENAPOLIS"
487;"ARENOPOLIS"
488;"ARES"
489;"ARGIRITA"
490;"ARICANDUVA"
491;"ARINOS"
492;"ARIPUANA"
493;"ARIQUEMES"
494;"ARIRANHA"
495;"ARIRANHA DO IVAI"
496;"ARMACAO DE BUZIOS"
497;"ARMAZEM"
498;"ARNEIROZ"
499;"AROAZES"
500;"AROEIRAS"
501;"ARRAIAL DO CABO"
502;"ARRAIAS"
503;"ARROIO DO MEIO"
504;"ARROIO DO PADRE"
505;"ARROIO DO SAL"
506;"ARROIO DOS RATOS"
507;"ARROIO DO TIGRE"
508;"ARROIO GRANDE"
509;"ARROIO TRINTA"
510;"ARTUR NOGUEIRA"
511;"ARUANA"
512;"ARUJA"
513;"ARVOREDO"
514;"ARVOREZINHA"
515;"ASCURRA"
516;"ASPASIA"
517;"ASSAI"
518;"ASSARE"
519;"ASSIS"
520;"ASSIS BRASIL"
521;"ASSIS CHATEAUBRIAND"
522;"ASSUNCAO"
523;"ASSUNCAO DO PIAUI"
524;"ASTOLFO DUTRA"
525;"ASTORGA"
526;"ATALAIA"
527;"ATALAIA"
528;"ATALANTA"
529;"ATALEIA"
530;"ATIBAIA"
531;"ATILIO VIVACQUA"
532;"AUGUSTINOPOLIS"
533;"AUGUSTO CORREA"
534;"AUGUSTO DE LIMA"
535;"AUGUSTO PESTANA"
536;"AUGUSTO SEVERO"
537;"AUREA"
538;"AURELINO LEAL"
539;"AURIFLAMA"
